feat_mode,spw,smote,depth,lr,mcw,sub,col,alpha,lambda,gamma,best_th,val_f1,test_f1,test_prec,test_rec,test_pr_auc,test_roc_auc,tp,fp,fn,tn
raw,50.0,smote_0.1,7,0.05,3,0.7,0.8,0.0,1.0,0.1,0.9400000000000002,0.8571428571428571,0.8633879781420765,0.9294117647058824,0.8061224489795918,0.8634818608727468,0.9846360955749772,79,6,19,56858
engineered,24.034432971342767,smote_0.1,5,0.1,3,0.9,1.0,0.0,5.0,0.1,0.9400000000000002,0.8472222222222222,0.8633879781420765,0.9294117647058824,0.8061224489795918,0.8609719242700558,0.9838122537985369,79,6,19,56858
engineered,115.53079365079367,,5,0.1,1,1.0,0.8,0.0,1.0,0.0,0.5200000000000001,0.863013698630137,0.8631578947368421,0.8913043478260869,0.8367346938775511,0.8733322534493096,0.9754019256830475,82,10,16,56854
engineered,577.6539682539683,smote_0.1,7,0.1,1,0.8,0.7,0.0,5.0,0.1,0.9000000000000001,0.84,0.8631578947368421,0.8913043478260869,0.8367346938775511,0.8721421513377888,0.9863476623063407,82,10,16,56854
engineered,1.0,smote_0.2,5,0.15,1,1.0,0.8,0.1,2.0,0.0,0.6000000000000001,0.863013698630137,0.8631578947368421,0.8913043478260869,0.8367346938775511,0.8636640659147576,0.9817064417213144,82,10,16,56854
engineered,50.0,smote_0.2,7,0.1,3,0.9,0.9,0.5,5.0,0.0,0.9000000000000001,0.8435374149659864,0.8617021276595744,0.9,0.826530612244898,0.8771552195181511,0.9854680124722933,81,9,17,56855
raw,50.0,smote_0.2,7,0.1,3,0.9,0.9,0.5,5.0,0.0,0.9400000000000002,0.8571428571428571,0.8617021276595744,0.9,0.826530612244898,0.8739348560559044,0.9811985166182398,81,9,17,56855
raw,10.0,,4,0.15,3,0.8,0.7,1.0,1.0,0.0,0.6400000000000001,0.8531468531468531,0.8617021276595744,0.9,0.826530612244898,0.8644240952881364,0.978892172372607,81,9,17,56855
log_amt_hour,50.0,smote_0.2,7,0.1,3,0.9,0.9,0.5,5.0,0.0,0.9400000000000002,0.8299319727891157,0.8602150537634409,0.9090909090909091,0.8163265306122449,0.8686630345645772,0.9881631289263032,80,8,18,56856
engineered,10.0,,5,0.15,5,1.0,0.9,1.0,1.0,0.2,0.3600000000000001,0.8493150684931506,0.8601036269430051,0.8736842105263158,0.8469387755102041,0.8779794662455336,0.979994874989951,83,12,15,56852
log_amt_hour,1.0,,7,0.15,5,0.9,0.8,0.5,2.0,0.1,0.16000000000000003,0.8552631578947368,0.86,0.8431372549019608,0.8775510204081632,0.8725534857420154,0.9777774467975147,86,16,12,56848
raw,24.034432971342767,,5,0.03,3,1.0,0.7,0.0,5.0,0.2,0.7800000000000001,0.8472222222222222,0.8586956521739131,0.9186046511627907,0.8061224489795918,0.872396015136037,0.9797316260494068,79,7,19,56857
log_amt_hour,10.0,,5,0.15,5,1.0,0.9,1.0,1.0,0.2,0.5000000000000001,0.8707482993197279,0.8586387434554974,0.8817204301075269,0.8367346938775511,0.8705438304048009,0.9827820478219426,82,11,16,56853
log_amt_hour,1.0,smote_0.1,7,0.15,3,0.9,1.0,0.1,1.0,0.2,0.66,0.8493150684931506,0.8586387434554974,0.8817204301075269,0.8367346938775511,0.8687180524941522,0.9884276339967613,82,11,16,56853
log_amt_hour,1.0,,4,0.1,3,0.7,1.0,0.0,1.0,0.2,0.24000000000000002,0.8456375838926175,0.8586387434554974,0.8817204301075269,0.8367346938775511,0.868031128140567,0.984322601437874,82,11,16,56853
engineered,288.82698412698414,smote_0.2,6,0.15,1,0.7,1.0,0.5,2.0,0.0,0.9200000000000002,0.847682119205298,0.8571428571428571,0.8901098901098901,0.826530612244898,0.8724921896618069,0.9855017485328401,81,10,17,56854
log_amt_hour,1.0,,7,0.03,3,0.7,1.0,1.0,5.0,0.2,0.2,0.8609271523178808,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8716266278236745,0.9768766222020604,84,14,14,56850
raw,1.0,,7,0.03,3,0.7,1.0,1.0,5.0,0.2,0.2,0.8609271523178808,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8713667533435338,0.976865496479965,84,14,14,56850
log_amt_hour,1.0,,6,0.1,5,1.0,1.0,0.1,1.0,0.2,0.22000000000000003,0.8456375838926175,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8711123935774702,0.9776739058031767,84,14,14,56850
log_amt_hour,24.034432971342767,,6,0.1,5,0.7,1.0,0.0,2.0,0.0,0.6400000000000001,0.8551724137931035,0.8571428571428571,0.8901098901098901,0.826530612244898,0.8697739238862817,0.978182458971208,81,10,17,56854
raw,1.0,smote_0.2,5,0.15,1,0.9,1.0,0.0,1.0,0.1,0.8400000000000001,0.8611111111111112,0.8571428571428571,0.9285714285714286,0.7959183673469388,0.8649477419676198,0.9838682413032743,78,6,20,56858
log_amt_hour,10.0,,4,0.15,3,0.8,0.7,1.0,1.0,0.0,0.4800000000000001,0.863013698630137,0.8556701030927835,0.8645833333333334,0.8469387755102041,0.8598240671521682,0.979980339772375,83,13,15,56851
log_amt_hour,50.0,smote_0.1,7,0.05,3,0.7,0.8,0.0,1.0,0.1,0.9200000000000002,0.8435374149659864,0.8556149732620321,0.898876404494382,0.8163265306122449,0.8629417213972217,0.9871585838893802,80,9,18,56855
raw,24.034432971342767,,6,0.1,5,0.7,1.0,0.0,2.0,0.0,0.6200000000000001,0.8611111111111112,0.8541666666666666,0.8723404255319149,0.8367346938775511,0.8696287076247833,0.9765707545680061,82,12,16,56852
raw,1.0,,4,0.1,3,0.7,1.0,0.0,1.0,0.2,0.24000000000000002,0.8378378378378378,0.8541666666666666,0.8723404255319149,0.8367346938775511,0.8667736984926955,0.9831448899199523,82,12,16,56852
log_amt_hour,288.82698412698414,smote_0.1,7,0.05,1,0.9,0.8,0.1,2.0,0.1,0.9400000000000002,0.8235294117647058,0.8541666666666666,0.8723404255319149,0.8367346938775511,0.864180362742018,0.9893697314322466,82,12,16,56852
raw,115.53079365079367,smote_0.1,4,0.15,5,1.0,0.7,0.0,1.0,0.2,0.9400000000000002,0.8441558441558441,0.8541666666666666,0.8723404255319149,0.8367346938775511,0.853097330571135,0.9796758179917999,82,12,16,56852
engineered,1.0,smote_0.1,5,0.15,3,0.9,0.7,1.0,1.0,0.0,0.7600000000000001,0.8531468531468531,0.8540540540540541,0.9080459770114943,0.8061224489795918,0.862908371845241,0.983652904746592,79,8,19,56856
engineered,50.0,smote_0.1,4,0.15,3,1.0,1.0,0.1,2.0,0.1,0.9400000000000002,0.8413793103448276,0.8540540540540541,0.9080459770114943,0.8061224489795918,0.8586895146482005,0.9804574896925569,79,8,19,56856
raw,288.82698412698414,smote_0.2,6,0.15,1,0.7,1.0,0.5,2.0,0.0,0.9400000000000002,0.84,0.8526315789473684,0.8804347826086957,0.826530612244898,0.8716981785401788,0.9792858793770743,81,11,17,56853
log_amt_hour,115.53079365079367,smote_0.1,4,0.15,5,1.0,0.7,0.0,1.0,0.2,0.9400000000000002,0.8266666666666667,0.8526315789473684,0.8804347826086957,0.826530612244898,0.8613578733190891,0.9816945982106967,81,11,17,56853
log_amt_hour,1.0,,5,0.15,3,0.8,0.8,0.1,5.0,0.0,0.4,0.8611111111111112,0.8524590163934426,0.9176470588235294,0.7959183673469388,0.8647327495308316,0.9794440620226706,78,7,20,56857
raw,10.0,,5,0.15,5,1.0,0.9,1.0,1.0,0.2,0.42000000000000004,0.8590604026845637,0.8512820512820513,0.8556701030927835,0.8469387755102041,0.8762840630907645,0.9813809246264629,83,14,15,56850
raw,288.82698412698414,smote_0.1,6,0.15,5,1.0,0.8,0.5,1.0,0.1,0.8800000000000001,0.8533333333333334,0.8512820512820513,0.8556701030927835,0.8469387755102041,0.873976622252064,0.9827021938488394,83,14,15,56850
engineered,1.0,,6,0.1,5,1.0,1.0,0.1,1.0,0.2,0.24000000000000002,0.8513513513513513,0.8512820512820513,0.8556701030927835,0.8469387755102041,0.8693896963577736,0.9770112075499868,83,14,15,56850
engineered,577.6539682539683,smote_0.2,5,0.15,1,0.9,1.0,1.0,2.0,0.2,0.9200000000000002,0.8344370860927153,0.851063829787234,0.8888888888888888,0.8163265306122449,0.864312763251517,0.9824543773615243,80,10,18,56854
raw,24.034432971342767,smote_0.1,5,0.1,3,0.9,1.0,0.0,5.0,0.1,0.9400000000000002,0.8456375838926175,0.851063829787234,0.8888888888888888,0.8163265306122449,0.861510696021685,0.9817044678028781,80,10,18,56854
log_amt_hour,24.034432971342767,smote_0.1,6,0.05,5,0.7,0.7,0.0,1.0,0.2,0.9400000000000002,0.8378378378378378,0.8497409326424871,0.8631578947368421,0.8367346938775511,0.8673407956429884,0.9857681377981693,82,13,16,56851
log_amt_hour,24.034432971342767,,5,0.03,3,1.0,0.7,0.0,5.0,0.2,0.7400000000000001,0.8611111111111112,0.8494623655913979,0.8977272727272727,0.8061224489795918,0.8690349050718991,0.9774684388386756,79,9,19,56855
log_amt_hour,288.82698412698414,smote_0.1,6,0.15,5,1.0,0.8,0.5,1.0,0.1,0.9200000000000002,0.8266666666666667,0.8481675392670157,0.8709677419354839,0.826530612244898,0.8723589542284761,0.981472801557314,81,12,17,56852
log_amt_hour,577.6539682539683,smote_0.1,7,0.1,1,0.8,0.7,0.0,5.0,0.1,0.8800000000000001,0.8211920529801324,0.8469387755102041,0.8469387755102041,0.8469387755102041,0.87811384510986,0.9825823231656196,83,15,15,56849
log_amt_hour,50.0,smote_0.1,4,0.15,3,1.0,1.0,0.1,2.0,0.1,0.9200000000000002,0.8513513513513513,0.8469387755102041,0.8469387755102041,0.8469387755102041,0.8618854351333495,0.9821704022773994,83,15,15,56849
raw,50.0,,6,0.03,5,0.8,0.9,0.0,1.0,0.1,0.7600000000000001,0.8551724137931035,0.8465608465608465,0.8791208791208791,0.8163265306122449,0.8710474627854196,0.982411668944449,80,11,18,56853
log_amt_hour,24.034432971342767,smote_0.1,5,0.1,3,0.9,1.0,0.0,5.0,0.1,0.9400000000000002,0.8435374149659864,0.8465608465608465,0.8791208791208791,0.8163265306122449,0.8590901526308798,0.9843636948307742,80,11,18,56853
raw,50.0,smote_0.1,4,0.15,3,1.0,1.0,0.1,2.0,0.1,0.9400000000000002,0.8344370860927153,0.8465608465608465,0.8791208791208791,0.8163265306122449,0.8542915658080222,0.979831398654003,80,11,18,56853
engineered,1.0,,7,0.03,3,0.7,1.0,1.0,5.0,0.2,0.44000000000000006,0.8611111111111112,0.8461538461538461,0.9166666666666666,0.7857142857142857,0.8667244057676753,0.9764737633939338,77,7,21,56857
engineered,1.0,smote_0.1,7,0.15,3,0.9,1.0,0.1,1.0,0.2,0.7600000000000001,0.8472222222222222,0.8461538461538461,0.9166666666666666,0.7857142857142857,0.8594416088396801,0.9830205330584681,77,7,21,56857
engineered,50.0,smote_0.1,7,0.05,3,0.7,0.8,0.0,1.0,0.1,0.9400000000000002,0.8356164383561644,0.8449197860962567,0.8876404494382022,0.8061224489795918,0.8580849794137332,0.9857100866514306,79,10,19,56854
engineered,1.0,,5,0.15,3,0.8,0.8,0.1,5.0,0.0,0.2,0.847682119205298,0.8442211055276382,0.8316831683168316,0.8571428571428571,0.8672575286340433,0.9759727470053863,84,17,14,56847
raw,1.0,,6,0.1,5,1.0,1.0,0.1,1.0,0.2,0.24000000000000002,0.8513513513513513,0.84375,0.8617021276595744,0.826530612244898,0.8696096995757404,0.980658291031663,81,13,17,56851
engineered,24.034432971342767,,6,0.1,5,0.7,1.0,0.0,2.0,0.0,0.7200000000000001,0.8551724137931035,0.8432432432432433,0.896551724137931,0.7959183673469388,0.871785499898052,0.9758882274068884,78,9,20,56855
engineered,50.0,,6,0.03,5,0.8,0.9,0.0,1.0,0.1,0.7800000000000001,0.8493150684931506,0.8432432432432433,0.896551724137931,0.7959183673469388,0.8683938156505332,0.9806729159728045,78,9,20,56855
raw,1.0,,7,0.15,5,0.9,0.8,0.5,2.0,0.1,0.16000000000000003,0.847682119205298,0.8426395939086294,0.8383838383838383,0.8469387755102041,0.8708496215211079,0.9763486887439274,83,16,15,56848
engineered,288.82698412698414,smote_0.1,6,0.15,5,1.0,0.8,0.5,1.0,0.1,0.9200000000000002,0.8322147651006712,0.8421052631578947,0.8695652173913043,0.8163265306122449,0.8615975089262898,0.981979380806909,80,12,18,56852
raw,1.0,smote_0.1,5,0.15,3,0.9,0.7,1.0,1.0,0.0,0.7000000000000001,0.863013698630137,0.8421052631578947,0.8695652173913043,0.8163265306122449,0.8615762462851896,0.9854852393968279,80,12,18,56852
engineered,24.034432971342767,smote_0.1,6,0.05,5,0.7,0.7,0.0,1.0,0.2,0.9400000000000002,0.8299319727891157,0.8421052631578947,0.8695652173913043,0.8163265306122449,0.855542036531548,0.9865019868386297,80,12,18,56852
raw,1.0,smote_0.1,7,0.15,3,0.9,1.0,0.1,1.0,0.2,0.5800000000000001,0.8552631578947368,0.841025641025641,0.845360824742268,0.8367346938775511,0.863204533310682,0.9886016079898476,82,15,16,56849
log_amt_hour,50.0,,6,0.03,5,0.8,0.9,0.0,1.0,0.1,0.8000000000000002,0.8493150684931506,0.8404255319148937,0.8777777777777778,0.8061224489795918,0.8693108626516717,0.9824515062074352,79,11,19,56853
raw,50.0,smote_0.2,4,0.15,5,0.9,0.7,0.5,1.0,0.1,0.9400000000000002,0.8496732026143791,0.8404255319148937,0.8777777777777778,0.8061224489795918,0.8568557537030961,0.9805475721521022,79,11,19,56853
engineered,50.0,smote_0.2,4,0.15,5,0.9,0.7,0.5,1.0,0.1,0.9200000000000002,0.8378378378378378,0.8393782383419689,0.8526315789473684,0.826530612244898,0.8633351668754607,0.9791103800833783,81,14,17,56850
engineered,1.0,,4,0.1,3,0.7,1.0,0.0,1.0,0.2,0.24000000000000002,0.8435374149659864,0.837696335078534,0.8602150537634409,0.8163265306122449,0.8658593565795837,0.9788211113089017,80,13,18,56851
engineered,50.0,smote_0.2,6,0.05,5,0.8,0.8,0.5,2.0,0.2,0.9400000000000002,0.8104575163398693,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8522430103026679,0.9859950486947735,82,16,16,56848
log_amt_hour,24.034432971342767,smote_0.2,6,0.05,1,1.0,0.7,0.1,1.0,0.1,0.9400000000000002,0.8243243243243243,0.8359788359788359,0.8681318681318682,0.8061224489795918,0.8577675215350988,0.9886596591365866,79,12,19,56852
raw,1.0,,5,0.15,3,0.8,0.8,0.1,5.0,0.0,0.24000000000000002,0.8513513513513513,0.8350515463917526,0.84375,0.826530612244898,0.8678332946867688,0.9794883854639211,81,15,17,56849
engineered,24.034432971342767,smote_0.2,6,0.05,1,1.0,0.7,0.1,1.0,0.1,0.9400000000000002,0.8266666666666667,0.8342245989304813,0.8764044943820225,0.7959183673469388,0.8524929892764285,0.9833216453435624,78,11,20,56853
log_amt_hour,577.6539682539683,smote_0.2,5,0.15,1,0.9,1.0,1.0,2.0,0.2,0.9200000000000002,0.8104575163398693,0.8324873096446701,0.8282828282828283,0.8367346938775511,0.8697886275748322,0.9869283532208607,82,17,16,56847
engineered,577.6539682539683,smote_0.2,5,0.1,5,0.7,0.9,0.5,2.0,0.1,0.9200000000000002,0.8205128205128205,0.8316831683168316,0.8076923076923077,0.8571428571428571,0.8576461397730711,0.9813535589390512,84,20,14,56844
raw,24.034432971342767,smote_0.1,6,0.05,5,0.7,0.7,0.0,1.0,0.2,0.9200000000000002,0.8456375838926175,0.8290155440414507,0.8421052631578947,0.8163265306122449,0.8615523046507363,0.984883732615162,80,15,18,56849
engineered,577.6539682539683,smote_0.1,4,0.15,5,0.7,1.0,1.0,2.0,0.0,0.9200000000000002,0.8258064516129032,0.8290155440414507,0.8421052631578947,0.8163265306122449,0.8498829325263443,0.9822508843154595,80,15,18,56849
log_amt_hour,50.0,smote_0.2,4,0.15,5,0.9,0.7,0.5,1.0,0.1,0.9400000000000002,0.8378378378378378,0.826530612244898,0.826530612244898,0.826530612244898,0.8596712887348276,0.986540567971702,81,17,17,56847
engineered,1.0,,7,0.15,5,0.9,0.8,0.5,2.0,0.1,0.14,0.8496732026143791,0.8241206030150754,0.8118811881188119,0.8367346938775511,0.8613169986830823,0.9752506517519782,82,19,16,56845
raw,24.034432971342767,smote_0.2,6,0.05,1,1.0,0.7,0.1,1.0,0.1,0.9400000000000002,0.8266666666666667,0.8229166666666666,0.8404255319148937,0.8061224489795918,0.8553528399287532,0.9845691617952752,79,15,19,56849
engineered,115.53079365079367,smote_0.1,4,0.15,5,1.0,0.7,0.0,1.0,0.2,0.9400000000000002,0.8356164383561644,0.8210526315789474,0.8478260869565217,0.7959183673469388,0.8476436029205148,0.9804549774327289,78,14,20,56850
log_amt_hour,577.6539682539683,smote_0.1,4,0.15,5,0.7,1.0,1.0,2.0,0.0,0.9400000000000002,0.8333333333333334,0.82,0.803921568627451,0.8367346938775511,0.8641057307626591,0.983592969404982,82,20,16,56844
raw,577.6539682539683,smote_0.2,5,0.15,1,0.9,1.0,1.0,2.0,0.2,0.9200000000000002,0.8205128205128205,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.8520801517305416,0.9836421379187579,80,18,18,56846
raw,288.82698412698414,smote_0.1,7,0.05,1,0.9,0.8,0.1,2.0,0.1,0.9400000000000002,0.8235294117647058,0.8144329896907216,0.8229166666666666,0.8061224489795918,0.8577237046177136,0.983558874450174,79,17,19,56847
log_amt_hour,577.6539682539683,smote_0.2,5,0.1,5,0.7,0.9,0.5,2.0,0.1,0.9400000000000002,0.8,0.8118811881188119,0.7884615384615384,0.8367346938775511,0.8596605946623727,0.9855532498593135,82,22,16,56842
log_amt_hour,50.0,smote_0.2,6,0.05,5,0.8,0.8,0.5,2.0,0.2,0.9400000000000002,0.8,0.8118811881188119,0.7884615384615384,0.8367346938775511,0.8536361609983177,0.9899213519116145,82,22,16,56842
log_amt_hour,50.0,smote_0.2,4,0.1,3,1.0,0.7,1.0,2.0,0.1,0.9400000000000002,0.7974683544303798,0.8078817733990148,0.780952380952381,0.8367346938775511,0.8454589672909643,0.9861081003870316,82,23,16,56841
engineered,288.82698412698414,smote_0.1,7,0.05,1,0.9,0.8,0.1,2.0,0.1,0.9400000000000002,0.8181818181818182,0.806282722513089,0.8279569892473119,0.7857142857142857,0.8470990625046753,0.9861834681818704,77,16,21,56848
raw,577.6539682539683,smote_0.1,4,0.15,5,0.7,1.0,1.0,2.0,0.0,0.9400000000000002,0.802547770700637,0.803921568627451,0.7735849056603774,0.8367346938775511,0.8594290322354114,0.9806145059318043,82,24,16,56840
raw,577.6539682539683,smote_0.2,5,0.1,5,0.7,0.9,0.5,2.0,0.1,0.9400000000000002,0.7901234567901234,0.8019323671497585,0.7614678899082569,0.8469387755102041,0.850549699971554,0.9845531910006545,83,26,15,56838
engineered,50.0,smote_0.2,4,0.1,3,1.0,0.7,1.0,2.0,0.1,0.9200000000000002,0.8235294117647058,0.8,0.7663551401869159,0.8367346938775511,0.8545761256872406,0.980706562309786,82,25,16,56839
raw,50.0,smote_0.2,6,0.05,5,0.8,0.8,0.5,2.0,0.2,0.9400000000000002,0.7924528301886793,0.7920792079207921,0.7692307692307693,0.8163265306122449,0.8522509778149795,0.9822892860014011,80,24,18,56840
raw,50.0,smote_0.2,4,0.1,3,1.0,0.7,1.0,2.0,0.1,0.9400000000000002,0.7901234567901234,0.780952380952381,0.7321428571428571,0.8367346938775511,0.8407321170855535,0.9845765191276284,82,30,16,56834
engineered,50.0,smote_0.2,7,0.03,5,0.8,0.7,0.1,2.0,0.1,0.9400000000000002,0.7777777777777778,0.7772511848341233,0.7256637168141593,0.8367346938775511,0.8410768345612312,0.987393659630425,82,31,16,56833
log_amt_hour,50.0,smote_0.2,7,0.03,5,0.8,0.7,0.1,2.0,0.1,0.9400000000000002,0.7607361963190185,0.7685185185185185,0.7033898305084746,0.8469387755102041,0.839998429257722,0.9883400637970439,83,35,15,56829
engineered,577.6539682539683,smote_0.2,4,0.1,5,0.7,1.0,0.0,5.0,0.2,0.9400000000000002,0.7150837988826816,0.7477477477477478,0.6693548387096774,0.8469387755102041,0.8366873200943259,0.9806297589379027,83,41,15,56823
log_amt_hour,50.0,smote_0.1,5,0.03,3,1.0,0.8,1.0,5.0,0.2,0.9400000000000002,0.7241379310344828,0.7410714285714286,0.6587301587301587,0.8469387755102041,0.8153351273948146,0.9863514306960826,83,43,15,56821
raw,50.0,smote_0.2,7,0.03,5,0.8,0.7,0.1,2.0,0.1,0.9400000000000002,0.7730061349693251,0.7363636363636363,0.6639344262295082,0.826530612244898,0.8405152169113883,0.9844142989215945,81,41,17,56823
raw,50.0,smote_0.1,5,0.03,3,1.0,0.8,1.0,5.0,0.2,0.9400000000000002,0.7636363636363637,0.7280701754385965,0.6384615384615384,0.8469387755102041,0.7766358163035364,0.9833244267740862,83,47,15,56817
engineered,50.0,smote_0.1,5,0.03,3,1.0,0.8,1.0,5.0,0.2,0.9400000000000002,0.7411764705882353,0.7186147186147186,0.6240601503759399,0.8469387755102041,0.7832921928379342,0.9840415872314036,83,50,15,56814
log_amt_hour,577.6539682539683,smote_0.2,4,0.1,5,0.7,1.0,0.0,5.0,0.2,0.9400000000000002,0.7222222222222222,0.70042194092827,0.5971223021582733,0.8469387755102041,0.8369119071605653,0.9835437111676409,83,56,15,56808
raw,577.6539682539683,smote_0.2,4,0.1,5,0.7,1.0,0.0,5.0,0.2,0.9400000000000002,0.6881720430107527,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.8373258133149165,0.9825417681141111,84,70,14,56794
log_amt_hour,577.6539682539683,smote_0.2,5,0.05,5,0.9,1.0,1.0,2.0,0.0,0.9400000000000002,0.6341463414634146,0.6436781609195402,0.5153374233128835,0.8571428571428571,0.7928055515819183,0.9863381516084205,84,79,14,56785
engineered,577.6539682539683,smote_0.2,5,0.05,5,0.9,1.0,1.0,2.0,0.0,0.9400000000000002,0.64,0.6343283582089553,0.5,0.8673469387755102,0.8236372287817229,0.9830509493470996,85,85,13,56779
raw,577.6539682539683,smote_0.2,5,0.05,5,0.9,1.0,1.0,2.0,0.0,0.9400000000000002,0.5898617511520737,0.5915492957746479,0.45161290322580644,0.8571428571428571,0.8178349271300189,0.9838260712275906,84,102,14,56762
engineered,288.82698412698414,smote_0.1,5,0.03,5,0.8,1.0,0.5,5.0,0.1,0.9400000000000002,0.5508474576271186,0.53125,0.38288288288288286,0.8673469387755102,0.7924522005397215,0.9847376626508793,85,137,13,56727
log_amt_hour,288.82698412698414,smote_0.1,5,0.03,5,0.8,1.0,0.5,5.0,0.1,0.9400000000000002,0.5387755102040817,0.5151515151515151,0.36637931034482757,0.8673469387755102,0.7669081887447364,0.9876610358549722,85,147,13,56717
raw,288.82698412698414,smote_0.1,5,0.03,5,0.8,1.0,0.5,5.0,0.1,0.9400000000000002,0.5344129554655871,0.4692737430167598,0.3230769230769231,0.8571428571428571,0.7801378042151299,0.9835966480711588,84,176,14,56688
log_amt_hour,115.53079365079367,smote_0.2,4,0.03,1,0.9,0.7,1.0,1.0,0.2,0.9400000000000002,0.45051194539249145,0.41687344913151364,0.2754098360655738,0.8571428571428571,0.7280271518808201,0.9884912480045479,84,221,14,56643
engineered,115.53079365079367,smote_0.2,4,0.03,1,0.9,0.7,1.0,1.0,0.2,0.9400000000000002,0.4429530201342282,0.4097560975609756,0.2692307692307692,0.8571428571428571,0.6792833938661401,0.9866700390764072,84,228,14,56636
raw,115.53079365079367,smote_0.2,4,0.03,1,0.9,0.7,1.0,1.0,0.2,0.9400000000000002,0.43278688524590164,0.39436619718309857,0.25609756097560976,0.8571428571428571,0.7371116825786869,0.9861576277950685,84,244,14,56620
